23	tt10995146	Entha Manchivaadavuraa	2020	"Action, Drama"	152	India	Telugu	Satish Vegesna	"Nandamuri Kalyan Ram, Sarath Babu, Tanikella Bharani, Gayatri Bhargavi, Rajeev Kanakala, Vennela Kishore, Pavitra Lokesh, Rajshri Nair, V.K. Naresh, Mehreen Pirzada, Praveen, Prabhas Sreenu, Suhasini, Sumithra, Vijayakumar"	"Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy."	5.6		
24	tt10682062	Palasa 1978	2020	"Action, Drama"	144	India	Telugu	Karuna Kumar	"Rakshith, Nakshatra, Raghu Kunche, Vijay Ram, Thiruveer, Laxman Meesala, Prawin Yendamuri, Jagadeesh Prathap Bandari, Mirchi Madhavi, Thanmai Bolt, Shanmuk, Sherin Santhosh, Tirumalarao A., Dasari Ajay, Agguna Baburao"	"Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power."	7.7		
25	tt11490170	Hit	2020	"Action, Crime, Drama"	125	India	Telugu	Sailesh Kolanu	"Vishwak Sen, Ruhani Sharma, Murli Sharma, Bhanuchander, Brahmaji, Chaitanya Sagiraju, Naveena Reddy, Ravi Raja, Sahithi, Maganti Srinath, Hari Teja, Ravi Varma, Rangadham, Roopa Laxmi, Rajeshwari"	"Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost."	7.8		
26	tt11199356	Bheeshma	2020	"Action, Comedy, Romance"	150	India	Telugu	Venky Kudumula	"Nithiin, Rashmika Mandanna, Ajay, Darbha Appaji Ambarisha, Raghu Babu, Brahmaji, Lakshmi Gopalaswamy, Mime Gopi, Mirchi Kiran, Vennela Kishore, Kalyani N., Anant Nag, V.K. Naresh, Hebah Patel, Sampath Raj"	"The film revolves around Bheeshma, a man making his living as a meme creator, who wants to remain single forever. But will he be able to?"	6.6		
27	tt10773090	Sarileru Neekevvaru	2020	"Action, Comedy, Drama"	169	India	Telugu	Anil Ravipudi	"Mahesh Babu, Rashmika Mandanna, Vijayshanti, Prakash Raj, Rajendra Prasad, Ajay, Siva Akula, Rajsekhar Aningi, Ashwini, Dora Babu, Ganesh Babu, Raghu Babu, Tanikella Bharani, Tamannaah Bhatia, Brahmaji"	A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.	6.0		
28	tt11323316	Penguin	2020	"Drama, Mystery, Thriller"	132	India	"Tamil, Malayalam, Telugu"	Eashvar Karthic	"Keerthy Suresh, Linga, Madhampatty Rangaraj, Master Advaith, Mathi, Harini, Sai Jivitha, Nithya Kriupa, Maddy, Murali, Muthazhagan, Aishwarya Ramani, Thilak Rammohan, Riya, Shakthi"	It is a spine chilling tale of a pregnant mother who sets out on a dangerous mission to unravel the mystery and save her loved ones.	4.6		
29	tt10692888	Ponmagal Vandhal	2020	"Drama, Thriller"	123	India	Tamil	JJ Fredrick	"Jyotika, Parthiban, Bhagyaraj, Praveen, Akalya, Vj Ashik, Subbu Panchu, Pandiarajan, Prathap Pothen, Vidya Pradeep, Akil Santhosh, Thiagarajan, Vinodhini Vaidynathan"	Ponmagal Vandhal (Meaning: The Precious Princess has Arrived) is a courtroom drama that takes place in Ooty. Jyotika plays the lead in the film alongside various other veteran actors playing important roles.	6.9		
30	tt12117528	Kanni Maadam	2020	"Drama, Romance"	132	India	Tamil	Bose Venkat	"Chaya Devi, Sriram Karthik, Murugadass, Vishnu Ramaswamy, Supergood Subramani"	Kanni Maadam narrates the tale of a Madurai-based couple who runs for their life to Chennai as the relatives of the boy are quite enraged by their act. When both of them start a new life ...	7.5		
31	tt11318228	Vaanam Kottattum	2020	Drama	138	India	Tamil	Dhana Sekaran	"Sarath Kumar, Vikram Prabhu, Radhika Sarathkumar, Aishwarya Rajesh, Madonna Sebastian, Shanthnu Bhagyaraj, Nandha, Amitash Pradhan, Balaji Sakthivel, Madhusudhan Rao, Shyam Fernando, Abdul, Bakkiyammal, Balu, Bhaboos."	"A simple father's life whose one mistake breaks him away from his dear family. Even after many years, when he finally meets his family, the same mistake haunts him back in a different form which unfolds into an emotionally gripping climax."	6.4		
32	tt11138290	Naan Sirithaal	2020	"Comedy, Drama"	139	India	Tamil	Raana	"Hiphop Tamizha Adhi, Iswarya Menon, K.S. Ravikumar, Badava Gopi, Sujatha Sivakumar, Sha Ra, Munishkanth, Ravi Mariya, D.R.K. Kiran, G. Marimuthu, Pandiarajan, Vijay Kumar Rajendran, Arul D. Shankar, Raj Mohan, Yogi Babu"	"Gandhi is an IT guy who suffers from Pseudobulbar, and he uncontrollably laughs during stressful moments. He is taken to a Shiva temple and tied with a holy ornament, which is very strong, but it would bring a threat to him if separated."	5.3		
33	tt11143108	Oh My Kadavule	2020	Comedy	151	India	Tamil	Ashwath Marimuthu	"Ashok Selvan, Ritika Singh, Vani Bhojan, Vijay Sethupathi, Sha Ra, M.S. Bhaskar, Gajaraj, Ramesh Thilak, Gautham Menon"	When you think marrying your best friend means a 'happily ever-after' but it turns out to be just the reverse	8.1		
34	tt11531324	God Father	2020	"Action, Drama, Thriller"	140	India	Tamil	Jegan Rajshekar	"Ananya, Ashwanth Ashokkumar, Lal, Marimuthu, Nataraja Subramanian"	Dangerous Gangster Marudhu singam(Lal) comes to hunt down a whole family. Adhiyaman (Natty )and his wife Mithra (Ananya) and their son Arjun (Ashwanth) fights back to save their life.Nail biting intense action Drama .	5.6		
35	tt11581264	Draupathi	2020	"Action, Drama"	159	India	Tamil	"Mohan G., Stunt Mahesh"	"Sheela Rajkumar, Adhithiya, Maskara Ashmitha, Aaru Bala, Arun Balakrishna, Shankar Chatriyan, Gayathri, Jsk Gopi, Gopinath, Ilango, Jana, Singam Jayavel, Karunas, Shyle Kumar, Vijay Kumar"	"Being a village social activist draupathy a strong woman, trying to explore the illegal activity of the fake marriages against a team of lawyers who do so many wrong activities along with her husband and how they solve this issue"	3.7		
36	tt10750020	Pattas	2020	"Action, Drama"	141	India	Tamil	R.S. Durai Senthilkumar	"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra, Nassar, Munishkanth, Kpy Sathish, Kothandam, Aravind Akash, Azhagu, Suken Babu, Deepa, Master Devan, Gowri, Ilavarasu"	"Sakthi is a petty thief in a Chennai slum, who learns the Adimurai, the ancient and oldest form of martial arts. Meanwhile, an evil man and his son challenge Sakthi for a kickboxing tournament, and Sakthi agrees to participate in it."	5.8		
37	tt10022990	Seeru	2020	"Action, Drama"	123	India	Tamil	"Rathina Shiva, Sami Rajalingam"	"Jiiva, Navdeep, Riya Suman, Varun, Sathish, R.N.R. Manohar"	A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).	5.4		
38	tt10300704	Walter	2020	"Action, Crime, Thriller"	133	India	Tamil	Anbarasan	"Shirin Kanchwala, Yogi Babu, Sanam Shetty, Sibiraj"	"A cop, who sets out to solve the mysterious death of infants in Kumbakonam, realises that a few bigwigs are behind the crime."	3.6		
39	tt10594792	Mafia	2020	"Action, Crime, Drama"	113	India	Tamil	Karthick Naren	"Arun Vijay, Prasanna, Priya Bhavani Shankar, Praveen, Thalaivasal Vijay, Bala Hasan, Arul D. Shankar, Mathew Varghese, Bharath Reddy, Dipishi Blessy, Mahadev V. Adith, Akram, Anand, R. Anantharaj, David"	A narcotics officer engages in a cat-and-mouse chase to capture a powerful criminal kingpin not knowing that it could have a connection to the truth in his past.	6.0		
40	tt10966832	Dagaalty	2020	"Action, Comedy, Drama"	121	India	Tamil	Vijay Anand	"Santhanam, Rittika Sen, Yogi Babu, Radha Ravi, Santhana Bharathi, Rekha, Namo Narayana, Manobala, Scarlett Mellish Wilson, Hemant Pandey, Stunt Silva"	A conman tries to save an innocent girl from the clutches of a womanizer after realizing that he had fallen in love with her.	3.8		
41	tt10081762	Breaking Surface	2020	"Action, Drama, Thriller"	80	"Sweden, Norway, Belgium"	"Swedish, Norwegian"	Joachim Hedén	"Moa Gammel, Madeleine Martin, Trine Wiggen, Jitse Jonathan Buitnik, Remi Alashkar, Alessio Barreto, Irma Jenny Hallberg, Lena Hope, Thomas Hoy, Elle Kohrs, Sofia Magdalena Larsen, Eskil Nymoen, Ingrid Pettersen, Elisabeth Solheim, Aiko Steurs"	A winter diving trip in Norway turns into a desperate race against time for two sisters when one of them becomes trapped on the bottom of the ocean by falling rocks.	6.1		
42	tt10728764	Nessuno sa che io sono qui	2020	"Drama, Music"	91	Chile	"Spanish, English"	Gaspar Antillo	"Jorge Garcia, Lukas Vergara, Millaray Lobos, Luis Gnecco, Alejandro Goic, Gastón Pauls, Vicente Alvarez, Eduardo Paxeco, Juan Falcón, Solange Lackington, María Paz Grandjean, Julio Fuentes, Nelson Brodt, Roberto Vander"	"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?"	6.5		
43	tt11207902	Lejos de Casa pelicula Venezolana	2020	"Drama, History"	87	Venezuela	Spanish	Abner Official	"Angibell, Gabriel Buitrago, Darwing, Dariana Jozh, Marko, Abner Official, Yroski"	"Samuel, a young Venezuelan, emigrates from his country in search of a better life and to help his family, without knowing the difficult situations that he will face as an immigrant."	9.8		
44	tt10952782	Malasaña 32	2020	Horror	104	Spain	Spanish	Albert Pintó	"Begoña Vargas, Iván Marcos, Bea Segura, Sergio Castellanos, José Luis de Madariaga, Iván Renedo, Concha Velasco, Javier Botet, María Ballesteros, Rosa Álvarez, Almudena Salort, Hugo Fuertes, Álex Fuertes, Antonio Del Olmo, Eduardo Antuña"	A family moving to a new house to live the dream of the big city. A house where dreams turn in nightmares.	5.4		
45	tt11750282	Voces	2020	Horror	97	Spain	Spanish	Ángel Gómez Hernández	"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra, Lucas Blas, Nerea Barros, Beatriz Arjona, José Bermúdez, José Luis Lozano, Rubén Corvo, Rosa Álvarez, Álvaro Fontalba, Aitor Toro, Javier Botet, Viti Suárez"	"Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door."	7.0		
46	tt11506284	Padre no hay más que uno 2: La llegada de la suegra	2020	Comedy	96	Spain	Spanish	Santiago Segura	"Santiago Segura, Toni Acosta, Luna Fulgencio, Martina Valeria de Antioquía, Calma Segura, Carlos González Morollón, Sirena Segura, Leo Harlem, Sílvia Abril, Loles León, Lorena Berdún, Wendy Ramos, Marta González de Vega, Aníbal Gómez, Seve Miralles"	"Javier's life turns in a hell twice: not only Marisa announces that she's pregnant, but she calls the most feared people by him to help them."	5.9		
47	tt12536776	Fuego negro	2020	"Action, Horror, Mystery"	81	Mexico	Spanish	Bernardo Arellano	"Tenoch Huerta, Eréndira Ibarra, Dale Carley, Ariane Pellicer, Johana Fragoso Blendl, Daina Soledad Liparoti, Mauricio Aspe, Eglé Ivanauskaité, Pedro Prieto, Ángel Garnica, Marina Vera, Nick Zedd"	"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."	2.3		
48	tt11584724	Loco Por Vos	2020	Comedy	100	Colombia	Spanish	Felipe Martínez Amador	"Julián Arango, Carmenza Cossio, Laura Londoño, Monica Lopera, Raúl Ocampo, Germán Quintero, Federico Rivera, Roberto Urbina"	"During a party, Lucas, who lives in Bogotá, meets Lina, his boss's paisa cousin who's in the city to get her visa. Crazy in love, Lucas travels to Medellín to win Lina over, but he'll have to convince her paisa family before that happens."	5.3		
49	tt10349240	Mujeres Arriba	2020	Comedy	100	Chile	Spanish	Andres Feddersen	"Loretto Bernal, Natalia Valdebenito, Alison Mandel, Darko Alexandar, Matías Assler, Diego Casanueva, Samuel González, Consuelo Holzapfel, Cristián Riquelme"	Mujeres Arriba is a romantic comedy that tells the journey of three friends who are looking for a more entertaining and fiery sexuality with their respective partners.	3.6		
50	tt11417886	El Prófugo	2020	"Horror, Thriller"	90	"Argentina, Mexico"	Spanish	Natalia Meta	"Guillermo Arengo, Mirta Busnelli, Daniel Hendler, Nahuel Pérez Biscayart, Agustín Rittano, Erica Rivas, Cecilia Roth"	"The story of Inés, a young woman who after a traumatic episode during a trip with her partner begins to confuse herself between the real and the imaginary."	5.2		
51	tt11559138	El cazador	2020	Drama	101	Argentina	Spanish	Marco Berger	"Juan Pablo Cestaro, Juan Barberini, Lautaro Rodríguez, Patricio Rodríguez"	A 15-year-old young man burning with desire to have sex with another man gets involved with a manipulative and exploitative porn plot.	6.0		
52	tt12282598	L'amica	2020	"Crime, Thriller"	116	Argentina	Spanish	Alejandro Montiel	"Luisana Lopilato, Joaquín Furriel, Rafael Ferro, Maite Lanata, Juan Manuel Guilera, Abel Ayala, Sebastián Mogordoy, Delfina Chaves, Marita Ballesteros, Lindsay Seim"	"Pipa begins her career as a police detective alongside her mentor, the controversial detective Francisco Juánez. Together they must solve the violent murder of a 19-year-old girl."	5.3		
